datetime,pm2.5,cal_sen_hora,cal_cos_hora,cal_sen_dia,cal_cos_dia,cal_sen_mes,cal_cos_mes,pm2.5_obs_6,DEWP_obs_6,TEMP_obs_6,PRES_obs_6,Iws_obs_6,Is_obs_6,Ir_obs_6,viento_NE_obs_6,viento_NW_obs_6,viento_SE_obs_6,pm2.5_obs_12,pm2.5_obs_18,pm2.5_obs_24,pm2.5_trend_6_12,pm2.5_roll_mean_6_obs_6,pm2.5_roll_std_6_obs_6,pm2.5_roll_mean_12_obs_6,pm2.5_roll_std_12_obs_6,pm2.5_roll_mean_24_obs_6,pm2.5_roll_std_24_obs_6,TEMP_trend_6_12,PRES_trend_6_12
2010-01-02 00:00:00,129.0,0.0,1.0,-0.9749279121818236,-0.2225209339563146,0.0,1.0,129.0,-18.0,-5.0,1016.0,1.79,0.0,0.0,1,0,0,129.0,129.0,129.0,0.0,129.0,0.0,129.0,0.0,129.0,0.0,0.0,1.0
2010-01-02 01:00:00,148.0,0.25881904510252074,0.9659258262890683,-0.9749279121818236,-0.2225209339563146,0.0,1.0,129.0,-17.0,-4.0,1017.0,1.79,0.0,0.0,0,1,0,129.0,129.0,129.0,0.0,129.0,0.0,129.0,0.0,129.0,0.0,-1.0,2.0
2010-01-02 02:00:00,159.0,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,0.0,1.0,129.0,-17.0,-5.0,1017.0,0.89,0.0,0.0,0,0,0,129.0,129.0,129.0,0.0,129.0,0.0,129.0,0.0,129.0,0.0,-3.0,3.0
2010-01-02 03:00:00,181.0,0.7071067811865475,0.7071067811865476,-0.9749279121818236,-0.2225209339563146,0.0,1.0,129.0,-17.0,-5.0,1018.0,1.79,0.0,0.0,0,1,0,129.0,129.0,129.0,0.0,129.0,0.0,129.0,0.0,129.0,0.0,-4.0,4.0
2010-01-02 04:00:00,138.0,0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,0.0,1.0,129.0,-17.0,-5.0,1018.0,2.68,0.0,0.0,0,1,0,129.0,129.0,129.0,0.0,129.0,0.0,129.0,0.0,129.0,0.0,-3.0,3.0
2010-01-02 05:00:00,109.0,0.9659258262890683,0.25881904510252074,-0.9749279121818236,-0.2225209339563146,0.0,1.0,129.0,-17.0,-5.0,1020.0,0.89,0.0,0.0,0,0,0,129.0,129.0,129.0,0.0,129.0,0.0,129.0,0.0,129.0,0.0,-2.0,5.0
2010-01-02 06:00:00,105.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0.0,1.0,129.0,-16.0,-4.0,1020.0,1.79,0.0,0.0,0,0,1,129.0,129.0,129.0,0.0,129.0,0.0,129.0,0.0,129.0,0.0,1.0,4.0
2010-01-02 07:00:00,124.0,0.9659258262890683,-0.25881904510252063,-0.9749279121818236,-0.2225209339563146,0.0,1.0,148.0,-15.0,-4.0,1020.0,2.68,0.0,0.0,0,0,1,129.0,129.0,129.0,19.0,132.16666666666666,7.756717518813399,130.58333333333334,5.484827557301443,129.79166666666666,3.8783587594066993,0.0,3.0
2010-01-02 08:00:00,120.0,0.8660254037844387,-0.49999999999999983,-0.9749279121818236,-0.2225209339563146,0.0,1.0,159.0,-11.0,-5.0,1021.0,3.57,0.0,0.0,0,0,1,129.0,129.0,129.0,30.0,137.16666666666666,13.121229617176388,133.08333333333334,9.820741809912814,131.04166666666666,7.104677985339122,0.0,4.0
2010-01-02 09:00:00,132.0,0.7071067811865476,-0.7071067811865475,-0.9749279121818236,-0.2225209339563146,0.0,1.0,181.0,-7.0,-5.0,1022.0,5.36,1.0,0.0,0,0,1,129.0,129.0,129.0,52.0,145.83333333333334,21.283013571077454,137.41666666666666,16.827781862867198,133.20833333333334,12.406096561129052,0.0,4.0
